Removal_Fraction,Random_LCC_Size,Targeted_LCC_Size,Accidents_LCC_Size,Random_Efficiency,Targeted_Efficiency,Accidents_Efficiency
0.0,0.9672785315243416,0.9672785315243416,0.9672785315243416,1.0,1.0,1.0
0.05,0.8428571428571429,0.888268156424581,0.8557462090981647,0.8582181138375586,0.7257283613757698,0.8508128496620408
0.1,0.7049880287310455,0.7613727055067837,0.7098563447725459,0.6979368556056528,0.5817040782530851,0.6581343844707396
0.15000000000000002,0.5706304868316041,0.5498802873104549,0.5743016759776537,0.5352025949614277,0.41840616855082297,0.49768137379760324
0.2,0.4437350359138068,0.44453312051077415,0.3998004788507582,0.39667288606582995,0.3495757008122579,0.33151411020499894
0.25,0.3198324022346369,0.20750199521149243,0.24277733439744612,0.2830865401337784,0.1988138569752386,0.21394858453572732
0.30000000000000004,0.2006783719074222,0.047086991221069435,0.14285714285714285,0.196701893078672,0.1338689089291013,0.1492390046986806
0.35000000000000003,0.1222266560255387,0.04309656823623304,0.08571428571428572,0.13999133089099097,0.13138312550662273,0.11377811242405644
0.4,0.0808858739026337,0.041500399042298484,0.0465682362330407,0.10798646379967256,0.11775174232503272,0.088713699779939
0.45,0.04792498004788508,0.03750997605746209,0.0355147645650439,0.08626980253950808,0.1184657098739206,0.07818803111900043
0.5,0.034118116520351155,0.03272146847565842,0.026057462090981642,0.07409288002957694,0.11070997185623757,0.07192692156238284
