stop_id,stop_name,stop_lat,stop_lon,nearest_traffic_flow,road_capacity,accidents_300m
1,STAZIONE CENTRALE,44.50576575,11.34317589,199.28,1224.3,0
10,PORTA GALLIERA,44.50444281,11.3463873,298.17,1652.2,0
100,PIAZZA MAGGIORE,44.4943692,11.3436723,0.0,300.0,0
10001,IDICE,44.45985295,11.43665318,639.32,910.8,0
10002,IDICE,44.46003544,11.436539,639.32,910.8,0
10003,IDICE TRE PONTI,44.45657296,11.44419111,639.32,910.8,0
10005,IDICE TRE PONTI,44.45650543,11.44466436,639.32,910.8,0
10006,IDICE TRE PONTI,44.45681162,11.4442922,639.32,910.8,0
10009,MARESCOTTA,44.45412812,11.4516194,639.32,910.8,0
10010,MARESCOTTA,44.45459228,11.45070402,639.32,910.8,0
10013,CAMPANA,44.45203565,11.45708549,639.32,910.8,0
10014,CAMPANA,44.45194994,11.45793026,639.32,910.8,0
10017,OLMATELLO,44.4483912,11.46692389,639.32,910.8,0
10018,OLMATELLO,44.44853072,11.46697689,639.32,910.8,0
1002,PORTA MAGGIORE,44.48988493,11.3581904,653.65,1059.3,0
10021,OZZANO,44.44511505,11.47556707,639.32,910.8,0
10022,OZZANO,44.44494148,11.4763059,639.32,910.8,0
10025,OZZANO PIAVE,44.44142188,11.48524403,639.32,910.8,0
10026,OZZANO PIAVE,44.44138113,11.48582349,639.32,910.8,0
10029,TOLARA BIVIO,44.43938928,11.49070244,639.32,910.8,0
1003,PORTA MAGGIORE,44.48966894,11.35829567,653.65,1059.3,0
10030,TOLARA BIVIO,44.43935824,11.4910938,639.32,910.8,0
1004,ALBERTONI,44.48783117,11.36336834,609.37,836.0,0
1005,ALBERTONI,44.48791017,11.36291271,609.37,836.0,0
1006,ALEMANNI - AGEOP RICERCA,44.48656268,11.36676841,483.21,750.2,0
1008,ALBERTONI,44.48854535,11.36159918,665.91,5641.9,0
1009,ALEMANNI - AGEOP RICERCA,44.48711477,11.36507885,76.05,601.7,0
1010,LAURA BASSI,44.48517234,11.37050999,500.36,688.6,0
1011,LAURA BASSI,44.48551226,11.36939589,500.36,688.6,0
1012,FERMI,44.48393846,11.37375786,259.09,745.8,0
1013,FERMI,44.48439907,11.37225258,359.01,1002.1,0
1018,MAZZINI STAZIONE,44.48301643,11.37596748,259.09,745.8,0
1019,MAZZINI STAZIONE,44.48274896,11.3765445,259.09,745.8,0
1020,PONTEVECCHIO,44.4818874,11.37906298,417.72,598.4,0
1021,PONTEVECCHIO,44.48143292,11.38045916,292.16,554.4,0
1022,VILLA PARADISO,44.48107787,11.38159216,141.53,300.0,0
1025,VILLA LAURA,44.47933254,11.38525491,297.02,530.2,0
1026,VILLA LAURA,44.47921225,11.38597617,366.97,669.9,0
1027,ARNO,44.47716644,11.39119186,520.93,975.7,0
1028,ARNO,44.47782387,11.38980964,539.81,794.2,0
1031,EMILIA CALABRIA,44.47836855,11.38795363,428.05,601.7,0
1033,VILLAGGIO DUE MADONNE,44.47559917,11.39517569,934.01,1345.3,0
1034,VILLAGGIO DUE MADONNE,44.47571733,11.39530941,935.49,1735.8,0
1035,PARCO DEI CEDRI,44.47357286,11.40050195,662.26,1549.9,0
1036,PARCO DEI CEDRI,44.47404506,11.39942556,718.01,915.2,0
1037,SAN LAZZARO FIUME SAVENA,44.47264177,11.40307018,639.32,910.8,0
1038,SAN LAZZARO FIUME SAVENA,44.47256732,11.4033563,639.32,910.8,0
1041,SAN LAZZARO VILLA RODRIGUEZ,44.47151424,11.40607324,639.32,910.8,0
1042,SAN LAZZARO VILLA RODRIGUEZ,44.4717488,11.40558676,639.32,910.8,0
1043,SAN LAZZARO MUNICIPIO,44.47072213,11.40808772,639.32,910.8,0
1044,SAN LAZZARO MUNICIPIO,44.47060884,11.40852666,639.32,910.8,0
1045,SAN LAZZARO JUSSI,44.46882273,11.4129825,639.32,910.8,0
105,RIZZOLI,44.49445532,11.34491628,56.21,300.0,0
1050,SAN LAZZARO MODENA,44.465452,11.40748425,662.26,1549.9,0
1052,SAN LAZZARO MARZABOTTO,44.46354554,11.40765176,662.26,1549.9,0
1053,SAN LAZZARO DI VITTORIO,44.46697213,11.41253065,639.32,910.8,0
1054,SAN LAZZARO PERTINI,44.45868499,11.40884397,662.26,1549.9,0
1060,SAN LAZZARO DI VITTORIO,44.46806146,11.4136473,639.32,910.8,0
1061,SAN LAZZARO KENNEDY,44.46437648,11.41024337,662.26,1549.9,0
1062,SAN LAZZARO KENNEDY,44.46432575,11.4103535,662.26,1549.9,0
1063,SAN LAZZARO PISCINA KENNEDY,44.46257171,11.40926055,662.26,1549.9,0
1064,SAN LAZZARO PISCINA KENNEDY,44.46263244,11.40936864,662.26,1549.9,0
1065,SAN LAZZARO KENNEDY - SCORNETTA,44.46038859,11.40918831,662.26,1549.9,0
1066,SAN LAZZARO KENNEDY - SCORNETTA ,44.46045921,11.40922642,662.26,1549.9,0
108,PIAZZA MAGGIORE,44.49358847,11.34368217,0.0,300.0,0
109,RIZZOLI,44.49430039,11.34599708,56.21,300.0,0
11,PORTA GALLIERA,44.50449161,11.34724311,298.17,1652.2,0
1101,BITONE,44.4782025,11.38478055,49.91,300.0,0
1102,BITONE,44.47979967,11.38374065,272.23,1731.4,0
