codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
658002;374;SAN MARTINO IN SPINO;VIA VALLI 521;MIRANDOLA;426;N/A;44.935629, 11.234179;Fuori Bologna;Fuori Bologna
658003;375;SAN MARTINO IN SPINO;VIA VALLI 496;SAN MARTINO SPINO;426;N/A;44.935575, 11.234139;Fuori Bologna;Fuori Bologna
659001;551;MODENA MASERATI;VIA PAOLO FERRARI;MODENA;400;N/A;44.649743, 10.938259;Fuori Bologna;Fuori Bologna
659005;551;MODENA STAZIONE FS;VIALE MONTE KOSICA;MODENA;400;N/A;44.653082, 10.930891;Fuori Bologna;Fuori Bologna
659008;551;MODENA FIAT;VIA MARCANTONIO PARENTI;MODENA;400;N/A;44.659258, 10.921788;Fuori Bologna;Fuori Bologna
659009;551;MODENA ATTIRAGLIO;VIA CANALETTO SUD;MODENA;400;N/A;44.655958, 10.933824;Fuori Bologna;Fuori Bologna
659010;551;MODENA CROCETTA;VIA NONANTOLANA;MODENA;400;N/A;44.654354, 10.945059;Fuori Bologna;Fuori Bologna
659013;551;MODENA PIAZZALE SEFTA;VIA NONANTOLANA;MODENA;400;N/A;44.656127, 10.950857;Fuori Bologna;Fuori Bologna
659014;551;TORRAZZI;VIA NONANTOLANA;MODENA;400;N/A;44.659915, 10.96414;Fuori Bologna;Fuori Bologna
659015;552;TORRAZZI;VIA NONANTOLANA;MODENA;400;N/A;44.660016, 10.964017;Fuori Bologna;Fuori Bologna
659015;551;TORRAZZI;VIA NONANTOLANA;MODENA;400;N/A;44.660016, 10.964017;Fuori Bologna;Fuori Bologna
659024;551;FANTI FS;VIA FANTI FRONTE INGRESSO STAZIONE FS PO;MODENA;400;N/A;44.655998, 10.929878;Fuori Bologna;Fuori Bologna
659027;551;BIVIO RAMELLI - MIRANDOLA;VIA RAMELLI 45 M PRIMA INCROCIO VIA MIRA;MODENA;400;N/A;44.657154, 10.920596;Fuori Bologna;Fuori Bologna
659029;551;CAVO ARGINE;VIA NONANTOLA 35 MT DOPO INCROCIO VIA CA;MODENA;400;N/A;44.658376, 10.958311;Fuori Bologna;Fuori Bologna
659032;551;ISTITUTO FERMI;VIA LUOSI FR.23;MODENA;400;N/A;44.643578, 10.914713;Fuori Bologna;Fuori Bologna
660006;551;NONANTOLA MAESTRA DI REDU;VIA MARZABOTTO 33;NONANTOLA;427;N/A;44.675132, 11.048946;Fuori Bologna;Fuori Bologna
660008;551;MODENA BIVIO CAMPAZZO;VIA PROVINCIALE OVEST;NONANTOLA;420;N/A;44.673503, 11.011986;Fuori Bologna;Fuori Bologna
660010;551;MADONNA DELLA ROVERE;VIA PROVINCIALE OVEST;NONANTOLA;427;N/A;44.675652, 11.020804;Fuori Bologna;Fuori Bologna
660010;552;MADONNA DELLA ROVERE;VIA PROVINCIALE OVEST;NONANTOLA;427;N/A;44.675652, 11.020804;Fuori Bologna;Fuori Bologna
660013;538;NONANTOLA  AUTOSTAZIONE;TERMINAL BUS NONANTOLA PENSILINA NORD;NONANTOLA;427;N/A;44.679949, 11.03887;Fuori Bologna;Fuori Bologna
