codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
606008;632;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI 16;LIDO DEGLI ESTENSI;604;N/A;44.666582, 12.240324;Fuori Bologna;Fuori Bologna
606008;331;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI 16;LIDO DEGLI ESTENSI;604;N/A;44.666582, 12.240324;Fuori Bologna;Fuori Bologna
606010;634;VACCOLINO [205];ROMEA 48;VACCOLINO;629;N/A;44.801478, 12.178647;Fuori Bologna;Fuori Bologna
606010;334;VACCOLINO [205];ROMEA 48;VACCOLINO;629;N/A;44.801478, 12.178647;Fuori Bologna;Fuori Bologna
606015;332;VIA VALLI BASSE 3;STRADA PODERALE VALLI BASSE;COMACCHIO;601;N/A;44.761807, 12.193742;Fuori Bologna;Fuori Bologna
606017;334;VIA VALLI BASSE 3;STRADA PODERALE VALLI BASSE;COMACCHIO;601;N/A;44.76188, 12.193064;Fuori Bologna;Fuori Bologna
606017;332;VIA VALLI BASSE 3;STRADA PODERALE VALLI BASSE;COMACCHIO;601;N/A;44.76188, 12.193064;Fuori Bologna;Fuori Bologna
606019;332;VIA VALLI BASSE 11;PODERALE VALLI BASSE 7;COMACCHIO;601;N/A;44.761135, 12.204849;Fuori Bologna;Fuori Bologna
606020;332;VIA VALLI BASSE 15;PODERALE VALLI BASSE F15;COMACCHIO;601;N/A;44.760415, 12.216358;Fuori Bologna;Fuori Bologna
606020;334;VIA VALLI BASSE 15;PODERALE VALLI BASSE F15;COMACCHIO;601;N/A;44.760415, 12.216358;Fuori Bologna;Fuori Bologna
606021;334;VIA VALLI BASSE 15;PODERALE VALLI BASSE 15;COMACCHIO;601;N/A;44.760443, 12.216031;Fuori Bologna;Fuori Bologna
606022;333;CORTE LAZIO [121];VIA ARGINE SPINO N.23;COMACCHIO;627;N/A;44.729096, 12.130288;Fuori Bologna;Fuori Bologna
606024;630;VOLANIA [120];VIALE DELLE REGIONI N. FR. 23;COMACCHIO;627;N/A;44.724783, 12.134917;Fuori Bologna;Fuori Bologna
606024;333;VOLANIA [120];VIALE DELLE REGIONI N. FR. 23;COMACCHIO;627;N/A;44.724783, 12.134917;Fuori Bologna;Fuori Bologna
606025;630;VOLANIA [120];VIALE DELLE REGIONI N. 23;VOLANIA;627;N/A;44.724737, 12.134636;Fuori Bologna;Fuori Bologna
606026;333;BUCHETTO [028];VIALE DELLE REGIONI 100 M PRIMA SP.15;COMACCHIO;627;N/A;44.728976, 12.149363;Fuori Bologna;Fuori Bologna
606027;331;CORTE LIVENZA [018];VIA STRADA PROVINCIALE PER OSTELLATO FR.;COMACCHIO;627;N/A;44.700328, 12.140336;Fuori Bologna;Fuori Bologna
606028;333;BUCHETTO [028];VIALE DELLE REGIONI 100 M DOPO SP 15;COMACCHIO;627;N/A;44.728908, 12.148892;Fuori Bologna;Fuori Bologna
606037;332;VACCOLINO PER LAGOSANTO [;LAGOSANTO - VACCOLINO 51;VACCOLINO;629;N/A;44.800847, 12.178018;Fuori Bologna;Fuori Bologna
606039;634;VACCOLINO PER LAGOSANTO [;LAGOSANTO - VACCOLINO 120;VACCOLINO;629;N/A;44.800809, 12.178105;Fuori Bologna;Fuori Bologna
606040;331;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI;LIDO DI SPINA;604;N/A;44.641547, 12.246331;Fuori Bologna;Fuori Bologna
606040;334;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI;LIDO DI SPINA;604;N/A;44.641547, 12.246331;Fuori Bologna;Fuori Bologna
606041;333;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI CIV. 4;COMACCHIO;604;N/A;44.641211, 12.246753;Fuori Bologna;Fuori Bologna
606041;331;LIDO DI SPINA VIALE DEGLI;VIALE ETRUSCHI CIV. 4;COMACCHIO;604;N/A;44.641211, 12.246753;Fuori Bologna;Fuori Bologna
606043;333;LIDO DI SPINA DEGLI ETRUS;VIALE ETRUSCHI;COMACCHIO;604;N/A;44.640228, 12.238566;Fuori Bologna;Fuori Bologna
606045;334;BIVIO VALLI BASSE;STRADA ROMEA (LIDO DELLE NAZIONI);COMACCHIO;601;N/A;44.762087, 12.192102;Fuori Bologna;Fuori Bologna
606047;332;BIVIO VALLI BASSE;STRADA ROMEA (LIDO DELLE NAZIONI);COMACCHIO;601;N/A;44.762186, 12.192095;Fuori Bologna;Fuori Bologna
606047;334;BIVIO VALLI BASSE;STRADA ROMEA (LIDO DELLE NAZIONI);COMACCHIO;601;N/A;44.762186, 12.192095;Fuori Bologna;Fuori Bologna
606049;333;COMACCHIO OSPEDALE;VIA RAIMONDO FELETTI;COMACCHIO;627;N/A;44.69525, 12.189055;Fuori Bologna;Fuori Bologna
606051;631;BAGNO ASTOR [034];VIA DEI MILLE 69/65;PORTO GARIBALDI;603;N/A;44.681935, 12.240802;Fuori Bologna;Fuori Bologna
606054;334;COMACCHIO EX MUTUA [015];VIA SPINA N. 75;COMACCHIO;627;N/A;44.696599, 12.175549;Fuori Bologna;Fuori Bologna
606055;333;COMACCHIO EX MUTUA [015];VIA SPINA N. FR. 75;COMACCHIO;627;N/A;44.696618, 12.175512;Fuori Bologna;Fuori Bologna
606056;337;VILLAGGIO DELLE ROSE [202;VIA LIDO DI VOLANO;COMACCHIO;605;N/A;44.803228, 12.263019;Fuori Bologna;Fuori Bologna
606056;334;VILLAGGIO DELLE ROSE [202;VIA LIDO DI VOLANO;COMACCHIO;605;N/A;44.803228, 12.263019;Fuori Bologna;Fuori Bologna
606057;332;VOLANO - VIA DEL BOSCO 1;VIALE DEL BOSCO 275;LIDO DI VOLANO;605;N/A;44.801874, 12.265333;Fuori Bologna;Fuori Bologna
606058;331;COMACCHIO CIAMBELLINO [02;VIA SPINA N. 47;COMACCHIO;627;N/A;44.694583, 12.178745;Fuori Bologna;Fuori Bologna
606059;630;COMACCHIO CIAMBELLINO [02;VIA SPINA N. FR. 47;COMACCHIO;627;N/A;44.69473, 12.178652;Fuori Bologna;Fuori Bologna
606060;630;COMACCHIO TREPPONTI [001];VIA TREPPONTI INCR. FATTIBELLO;COMACCHIO;627;N/A;44.69191, 12.182915;Fuori Bologna;Fuori Bologna
606061;333;COMACCHIO TREPPONTI [001];VIA COMACCHIO F15;COMACCHIO;627;N/A;44.691741, 12.182212;Fuori Bologna;Fuori Bologna
606061;331;COMACCHIO TREPPONTI [001];VIA COMACCHIO F15;COMACCHIO;627;N/A;44.691741, 12.182212;Fuori Bologna;Fuori Bologna
606062;630;COMACCHIO DISPENSARIO [00;VIA MARINA N.FR.41;COMACCHIO;627;N/A;44.689604, 12.188468;Fuori Bologna;Fuori Bologna
606062;333;COMACCHIO DISPENSARIO [00;VIA MARINA N.FR.41;COMACCHIO;627;N/A;44.689604, 12.188468;Fuori Bologna;Fuori Bologna
606065;630;COMACCHIO DISPENSARIO [00;VIA MARINA 31;COMACCHIO;627;N/A;44.690539, 12.187194;Fuori Bologna;Fuori Bologna
606066;334;RAIBOSOLA - VILLAGGIO DEL;S.P. DI COMACCHIO FR. N. 73;COMACCHIO;627;N/A;44.685926, 12.193793;Fuori Bologna;Fuori Bologna
606066;331;RAIBOSOLA - VILLAGGIO DEL;S.P. DI COMACCHIO FR. N. 73;COMACCHIO;627;N/A;44.685926, 12.193793;Fuori Bologna;Fuori Bologna
606067;631;RAIBOSOLA - VILLAGGIO DEL;S.P. DI COMACCHIO N. 73;COMACCHIO;627;N/A;44.68646, 12.19304;Fuori Bologna;Fuori Bologna
606067;331;RAIBOSOLA - VILLAGGIO DEL;S.P. DI COMACCHIO N. 73;COMACCHIO;627;N/A;44.68646, 12.19304;Fuori Bologna;Fuori Bologna
606070;634;VOLANO - VIA DEL BOSCO 1;VIALE DEL BOSCO F279;COMACCHIO;605;N/A;44.802231, 12.265454;Fuori Bologna;Fuori Bologna
606070;334;VOLANO - VIA DEL BOSCO 1;VIALE DEL BOSCO F279;COMACCHIO;605;N/A;44.802231, 12.265454;Fuori Bologna;Fuori Bologna
606070;337;VOLANO - VIA DEL BOSCO 1;VIALE DEL BOSCO F279;COMACCHIO;605;N/A;44.802231, 12.265454;Fuori Bologna;Fuori Bologna
606071;331;COMACCHIO DEPOSITO [021];S.P. COMACCHIO FR. N.40;COMACCHIO;603;N/A;44.677115, 12.211981;Fuori Bologna;Fuori Bologna
606071;333;COMACCHIO DEPOSITO [021];S.P. COMACCHIO FR. N.40;COMACCHIO;603;N/A;44.677115, 12.211981;Fuori Bologna;Fuori Bologna
606072;331;COMACCHIO DEPOSITO [021];S.P. DI COMACCHIO N.40;COMACCHIO;603;N/A;44.677219, 12.211495;Fuori Bologna;Fuori Bologna
606073;631;VIA RIMEMBRANZE [030];VIALE RIMEMBRANZE N. 5;PORTO GARIBALDI;603;N/A;44.676886, 12.230314;Fuori Bologna;Fuori Bologna
606073;333;VIA RIMEMBRANZE [030];VIALE RIMEMBRANZE N. 5;PORTO GARIBALDI;603;N/A;44.676886, 12.230314;Fuori Bologna;Fuori Bologna
606073;632;VIA RIMEMBRANZE [030];VIALE RIMEMBRANZE N. 5;PORTO GARIBALDI;603;N/A;44.676886, 12.230314;Fuori Bologna;Fuori Bologna
606074;331;VIA RIMEMBRANZE [030];VIALE RIMEMBRANZE N. 14;PORTO GARIBALDI;603;N/A;44.67646, 12.230101;Fuori Bologna;Fuori Bologna
606074;334;VIA RIMEMBRANZE [030];VIALE RIMEMBRANZE N. 14;PORTO GARIBALDI;603;N/A;44.67646, 12.230101;Fuori Bologna;Fuori Bologna
606075;334;VIALE BONNET - BANCA [036;VIALE BONNET N.31;PORTO GARIBALDI;603;N/A;44.677794, 12.236382;Fuori Bologna;Fuori Bologna
606075;631;VIALE BONNET - BANCA [036;VIALE BONNET N.31;PORTO GARIBALDI;603;N/A;44.677794, 12.236382;Fuori Bologna;Fuori Bologna
606076;333;VIALE BONNET [036];VIALE BONNET N. 70;PORTO GARIBALDI;603;N/A;44.677579, 12.234112;Fuori Bologna;Fuori Bologna
606076;334;VIALE BONNET [036];VIALE BONNET N. 70;PORTO GARIBALDI;603;N/A;44.677579, 12.234112;Fuori Bologna;Fuori Bologna
606078;334;PORTO GARIBALDI VIA DEI M;VIALE DEI MILLE 3;PORTO GARIBALDI;603;N/A;44.678636, 12.2413;Fuori Bologna;Fuori Bologna
606079;334;VIA DEI MILLE [034];VIALE DEI MILLE 69;COMACCHIO;603;N/A;44.682707, 12.240909;Fuori Bologna;Fuori Bologna
606080;631;PERICLE [035];VIALE DEI MILLE FR 197;COMACCHIO;603;N/A;44.685792, 12.240349;Fuori Bologna;Fuori Bologna
606081;332;VOLANO - VIA DEL BOSCO 2;VIALE DEL BOSCO 53;LIDO DI VOLANO;605;N/A;44.79505, 12.261913;Fuori Bologna;Fuori Bologna
606082;334;PERICLE [035];VIALE DEI MILLE 209;PORTO GARIBALDI;603;N/A;44.686183, 12.240232;Fuori Bologna;Fuori Bologna
606082;332;PERICLE [035];VIALE DEI MILLE 209;PORTO GARIBALDI;603;N/A;44.686183, 12.240232;Fuori Bologna;Fuori Bologna
606083;631;CAMPING ANCORA [40B];VIA REPUBBLICHE MARINARE N.14;COMACCHIO;602;N/A;44.699482, 12.235686;Fuori Bologna;Fuori Bologna
606086;334;SCACCHI ALPI CENTRALI [04;VIALE ALPI CENTRALI 70;LIDO DEGLI SCACCHI;602;N/A;44.707001, 12.237822;Fuori Bologna;Fuori Bologna
606087;631;PIC-NIC [043];VIALE ALPI ORIENTALI N.111;LIDO DI POMPOSA;602;N/A;44.713618, 12.237509;Fuori Bologna;Fuori Bologna
606088;631;PIC-NIC [043];VIALE ALPI ORIENTALI FR. N.127;LIDO DI POMPOSA;602;N/A;44.71295, 12.237258;Fuori Bologna;Fuori Bologna
606089;331;LIDO POMPOSA [046];VIALE DOLOMITI FR.N.45;LIDO DI POMPOSA;602;N/A;44.719131, 12.236757;Fuori Bologna;Fuori Bologna
606090;332;LIDO POMPOSA [046];VIALE DOLOMITI N.39;LIDO DI POMPOSA;602;N/A;44.71908, 12.236956;Fuori Bologna;Fuori Bologna
606090;331;LIDO POMPOSA [046];VIALE DOLOMITI N.39;LIDO DI POMPOSA;602;N/A;44.71908, 12.236956;Fuori Bologna;Fuori Bologna
606091;332;SAN GIUSEPPE UFFICIO POST;VIA LIDO POMPOSA FR.N.70;SAN GIUSEPPE;602;N/A;44.720747, 12.224826;Fuori Bologna;Fuori Bologna
606091;334;SAN GIUSEPPE UFFICIO POST;VIA LIDO POMPOSA FR.N.70;SAN GIUSEPPE;602;N/A;44.720747, 12.224826;Fuori Bologna;Fuori Bologna
606094;332;SAN GIUSEPPE [051];VIA DELLA FONTANA N.10;SAN GIUSEPPE;602;N/A;44.720735, 12.21951;Fuori Bologna;Fuori Bologna
606094;334;SAN GIUSEPPE [051];VIA DELLA FONTANA N.10;SAN GIUSEPPE;602;N/A;44.720735, 12.21951;Fuori Bologna;Fuori Bologna
606095;334;SAN GIUSEPPE [051];VIA DELLA FONTANA FR.N.10;SAN GIUSEPPE;602;N/A;44.72069, 12.219507;Fuori Bologna;Fuori Bologna
606095;331;SAN GIUSEPPE [051];VIA DELLA FONTANA FR.N.10;SAN GIUSEPPE;602;N/A;44.72069, 12.219507;Fuori Bologna;Fuori Bologna
606095;332;SAN GIUSEPPE [051];VIA DELLA FONTANA FR.N.10;SAN GIUSEPPE;602;N/A;44.72069, 12.219507;Fuori Bologna;Fuori Bologna
606096;331;SAN GIUSEPPE FONTANA [052;VIA DELLA FONTANA 17;SAN GIUSEPPE;602;N/A;44.719826, 12.215659;Fuori Bologna;Fuori Bologna
606096;332;SAN GIUSEPPE FONTANA [052;VIA DELLA FONTANA 17;SAN GIUSEPPE;602;N/A;44.719826, 12.215659;Fuori Bologna;Fuori Bologna
606096;334;SAN GIUSEPPE FONTANA [052;VIA DELLA FONTANA 17;SAN GIUSEPPE;602;N/A;44.719826, 12.215659;Fuori Bologna;Fuori Bologna
606099;334;CAMPING TAHITI [055];VIALE LIBIA 133;LIDO DELLE NAZIONI;601;N/A;44.734593, 12.231154;Fuori Bologna;Fuori Bologna
606099;332;CAMPING TAHITI [055];VIALE LIBIA 133;LIDO DELLE NAZIONI;601;N/A;44.734593, 12.231154;Fuori Bologna;Fuori Bologna
606099;631;CAMPING TAHITI [055];VIALE LIBIA 133;LIDO DELLE NAZIONI;601;N/A;44.734593, 12.231154;Fuori Bologna;Fuori Bologna
606100;334;CAMPING TAHITI [055];VIALE LIBIA 80;LIDO DELLE NAZIONI;601;N/A;44.734535, 12.231605;Fuori Bologna;Fuori Bologna
606100;631;CAMPING TAHITI [055];VIALE LIBIA 80;LIDO DELLE NAZIONI;601;N/A;44.734535, 12.231605;Fuori Bologna;Fuori Bologna
606100;332;CAMPING TAHITI [055];VIALE LIBIA 80;LIDO DELLE NAZIONI;601;N/A;44.734535, 12.231605;Fuori Bologna;Fuori Bologna
606100;331;CAMPING TAHITI [055];VIALE LIBIA 80;LIDO DELLE NAZIONI;601;N/A;44.734535, 12.231605;Fuori Bologna;Fuori Bologna
606101;332;VIALE LIBIA [056];VIALE LIBIA 19;LIDO DELLE NAZIONI;601;N/A;44.734705, 12.237045;Fuori Bologna;Fuori Bologna
606102;332;VIALE LIBIA [056];VIALE LIBIA 22;LIDO DELLE NAZIONI;601;N/A;44.734697, 12.236716;Fuori Bologna;Fuori Bologna
606102;631;VIALE LIBIA [056];VIALE LIBIA 22;LIDO DELLE NAZIONI;601;N/A;44.734697, 12.236716;Fuori Bologna;Fuori Bologna
606103;631;CONDOMINIO ESEDRA [057];VIA LUNGOMARE ITALIA 39;LIDO DELLE NAZIONI;601;N/A;44.737806, 12.24102;Fuori Bologna;Fuori Bologna
606103;334;CONDOMINIO ESEDRA [057];VIA LUNGOMARE ITALIA 39;LIDO DELLE NAZIONI;601;N/A;44.737806, 12.24102;Fuori Bologna;Fuori Bologna
606104;331;CORTE ROMAGNA;SP 1a KM39 - VIA LIDI FERRARESI;COMACCHIO;627;N/A;44.70013, 12.101159;Fuori Bologna;Fuori Bologna
606105;334;CONDOMINIO ESEDRA [057];PIAZZA LUNGOMARE ITALIA 152;LIDO DELLE NAZIONI;601;N/A;44.737311, 12.240702;Fuori Bologna;Fuori Bologna
606105;332;CONDOMINIO ESEDRA [057];PIAZZA LUNGOMARE ITALIA 152;LIDO DELLE NAZIONI;601;N/A;44.737311, 12.240702;Fuori Bologna;Fuori Bologna
606106;631;VIALE PORTOGALLO [059];VIALE PORTOGALLO 25;LIDO DELLE NAZIONI;601;N/A;44.742175, 12.242805;Fuori Bologna;Fuori Bologna
606108;331;VIALE FRANCIA [062];VIALE FRANCIA N. 88;LIDO DELLE NAZIONI;601;N/A;44.748346, 12.239487;Fuori Bologna;Fuori Bologna
606112;331;LAGO NAZIONI [064];VIALE DEL LAGO;COMACCHIO;601;N/A;44.755741, 12.231411;Fuori Bologna;Fuori Bologna
606112;334;LAGO NAZIONI [064];VIALE DEL LAGO;COMACCHIO;601;N/A;44.755741, 12.231411;Fuori Bologna;Fuori Bologna
606112;631;LAGO NAZIONI [064];VIALE DEL LAGO;COMACCHIO;601;N/A;44.755741, 12.231411;Fuori Bologna;Fuori Bologna
606114;332;SCACCHI [40A];VIALE DEGLI SCACCHI 47;LIDO DEGLI SCACCHI;602;N/A;44.706289, 12.23628;Fuori Bologna;Fuori Bologna
606118;331;SCACCHI VECCHIO [040];VIALE DEGLI SCACCHI N.4;LIDO DEGLI SCACCHI;602;N/A;44.706782, 12.231889;Fuori Bologna;Fuori Bologna
606118;332;SCACCHI VECCHIO [040];VIALE DEGLI SCACCHI N.4;LIDO DEGLI SCACCHI;602;N/A;44.706782, 12.231889;Fuori Bologna;Fuori Bologna
606119;331;VIALE GERMANIA [061];VIALE GERMANIA CIV.61;LIDO DELLE NAZIONI;601;N/A;44.745517, 12.240213;Fuori Bologna;Fuori Bologna
606119;631;VIALE GERMANIA [061];VIALE GERMANIA CIV.61;LIDO DELLE NAZIONI;601;N/A;44.745517, 12.240213;Fuori Bologna;Fuori Bologna
606120;332;LIDO NAZIONI BAGNO CRIS [;VIALE LUNGOMARE ITALIA FR. CIVV. 78-80;COMACCHIO;601;N/A;44.74198, 12.243679;Fuori Bologna;Fuori Bologna
606120;631;LIDO NAZIONI BAGNO CRIS [;VIALE LUNGOMARE ITALIA FR. CIVV. 78-80;COMACCHIO;601;N/A;44.74198, 12.243679;Fuori Bologna;Fuori Bologna
606122;333;PORTO GARIBALDI PONTE ROM;VIALE NINO BONNET (PORTO GARIBALDI);PORTO GARIBALDI;603;N/A;44.677313, 12.229202;Fuori Bologna;Fuori Bologna
606122;332;PORTO GARIBALDI PONTE ROM;VIALE NINO BONNET (PORTO GARIBALDI);PORTO GARIBALDI;603;N/A;44.677313, 12.229202;Fuori Bologna;Fuori Bologna
606124;632;ARVEDA [070];VIALE LEOPARDI GIACOMO 92;COMACCHIO;604;N/A;44.669762, 12.231986;Fuori Bologna;Fuori Bologna
606124;331;ARVEDA [070];VIALE LEOPARDI GIACOMO 92;COMACCHIO;604;N/A;44.669762, 12.231986;Fuori Bologna;Fuori Bologna
606124;334;ARVEDA [070];VIALE LEOPARDI GIACOMO 92;COMACCHIO;604;N/A;44.669762, 12.231986;Fuori Bologna;Fuori Bologna
606125;333;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO N.29;LIDO DEGLI ESTENSI;604;N/A;44.671614, 12.242561;Fuori Bologna;Fuori Bologna
606125;331;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO N.29;LIDO DEGLI ESTENSI;604;N/A;44.671614, 12.242561;Fuori Bologna;Fuori Bologna
606126;334;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO FR. N. 39;LIDO DEGLI ESTENSI;604;N/A;44.671728, 12.242024;Fuori Bologna;Fuori Bologna
606126;331;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO FR. N. 39;LIDO DEGLI ESTENSI;604;N/A;44.671728, 12.242024;Fuori Bologna;Fuori Bologna
606128;333;LIDO ESTENSI CENTRO SCOLA;VIA TASSO TORQUATO FR1;LIDO DEGLI ESTENSI;604;N/A;44.674359, 12.2426;Fuori Bologna;Fuori Bologna
606128;332;LIDO ESTENSI CENTRO SCOLA;VIA TASSO TORQUATO FR1;LIDO DEGLI ESTENSI;604;N/A;44.674359, 12.2426;Fuori Bologna;Fuori Bologna
606128;338;LIDO ESTENSI CENTRO SCOLA;VIA TASSO TORQUATO FR1;LIDO DEGLI ESTENSI;604;N/A;44.674359, 12.2426;Fuori Bologna;Fuori Bologna
606129;331;LIDO SPINA VIALE PUCCINI;VIALE PUCCINI GIACOMO FR. N. 96;LIDO DI SPINA;604;N/A;44.637098, 12.250521;Fuori Bologna;Fuori Bologna
606129;333;LIDO SPINA VIALE PUCCINI;VIALE PUCCINI GIACOMO FR. N. 96;LIDO DI SPINA;604;N/A;44.637098, 12.250521;Fuori Bologna;Fuori Bologna
606131;333;LIDO SPINA VIALE VERDI [1;VIALE VERDI GIUSEPPE N. 87;LIDO DI SPINA;604;N/A;44.6389, 12.252676;Fuori Bologna;Fuori Bologna
606132;334;LIDO SPINA VIALE VERDI [1;VIALE VERDI GIUSEPPE N. 106;LIDO DI SPINA;604;N/A;44.638454, 12.252853;Fuori Bologna;Fuori Bologna
606134;334;LIDO SPINA FIERAMOSCA [10;VIALE VERDI GIUSEPPE N. 76;LIDO DI SPINA;604;N/A;44.64032, 12.251495;Fuori Bologna;Fuori Bologna
606134;333;LIDO SPINA FIERAMOSCA [10;VIALE VERDI GIUSEPPE N. 76;LIDO DI SPINA;604;N/A;44.64032, 12.251495;Fuori Bologna;Fuori Bologna
606135;333;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE N. 37;LIDO DI SPINA;604;N/A;44.642786, 12.249288;Fuori Bologna;Fuori Bologna
606135;331;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE N. 37;LIDO DI SPINA;604;N/A;44.642786, 12.249288;Fuori Bologna;Fuori Bologna
606135;632;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE N. 37;LIDO DI SPINA;604;N/A;44.642786, 12.249288;Fuori Bologna;Fuori Bologna
606136;331;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE FR. N. 39;LIDO DI SPINA;604;N/A;44.642689, 12.249534;Fuori Bologna;Fuori Bologna
606136;333;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE FR. N. 39;LIDO DI SPINA;604;N/A;44.642689, 12.249534;Fuori Bologna;Fuori Bologna
606137;331;LIDO SPINA AGENZIA BRUNET;VIALE LEONARDO DA VINCI N. 109;LIDO DI SPINA;604;N/A;44.645216, 12.249953;Fuori Bologna;Fuori Bologna
606139;331;LIDO SPINA AGENZIA BRUNET;VIALE LEONARDO DA VINCI FR. N. 109;LIDO DI SPINA;604;N/A;44.645262, 12.249905;Fuori Bologna;Fuori Bologna
606139;334;LIDO SPINA AGENZIA BRUNET;VIALE LEONARDO DA VINCI FR. N. 109;LIDO DI SPINA;604;N/A;44.645262, 12.249905;Fuori Bologna;Fuori Bologna
606140;632;LIDO SPINA CARAVEL GALLIA;VIALE LEONARDO DA VINCI N. 49;LIDO DI SPINA;604;N/A;44.649926, 12.248299;Fuori Bologna;Fuori Bologna
606142;632;LIDO SPINA BAR DEL MORO [;VIALE MICHELANGELO N. 1;LIDO DI SPINA;604;N/A;44.651722, 12.247517;Fuori Bologna;Fuori Bologna
606143;331;LIDO SPINA BAR DEL MORO [;VIALE MICHELANGELO FR. N. 7;LIDO DI SPINA;604;N/A;44.651657, 12.247576;Fuori Bologna;Fuori Bologna
606144;333;LIDO SPINA BARRACUDA [091;VIALE RAFFAELLO SANZIO N. 99;LIDO DI SPINA;604;N/A;44.655333, 12.24116;Fuori Bologna;Fuori Bologna
606145;632;LIDO SPINA BARRACUDA [091;VIALE RAFFAELLO SANZIO FR. N.121;COMACCHIO;604;N/A;44.655166, 12.241;Fuori Bologna;Fuori Bologna
606147;632;LIDO SPINA AROLDO [090];VIALE DELLE ACACIE N. 18;LIDO DI SPINA;604;N/A;44.658509, 12.244692;Fuori Bologna;Fuori Bologna
606148;632;LIDO ESTENSI LOGONOVO [08;VIALE DEI TIGLI TRA CIVV. 24 E 26;LIDO DEGLI ESTENSI;604;N/A;44.660757, 12.242875;Fuori Bologna;Fuori Bologna
606153;;MONTE SAN MICHELE CHIESA;VIA MONTE SAN GIOVANNI FR. CIV. 7;LIDO DEGLI SCACCHI;602;N/A;44.711278, 12.236849;Fuori Bologna;Fuori Bologna
606154;;MONTE SAN MICHELE CHIESA;VIA MONTE SAN MICHELE FR. CIV. 25;LIDO DEGLI SCACCHI;602;N/A;44.711427, 12.235733;Fuori Bologna;Fuori Bologna
606159;;SAN GIUSEPPE CIMITERO;;COMACCHIO;602;N/A;44.716046, 12.220436;Fuori Bologna;Fuori Bologna
606162;334;BORGO MANARA;PODERALI VALLI BASSE FR. CIV 97;COMACCHIO;601;N/A;44.758988, 12.228661;Fuori Bologna;Fuori Bologna
606163;334;BORGO MANARA;PODERALI VALLI BASSE CIV 97;COMACCHIO;601;N/A;44.759076, 12.228716;Fuori Bologna;Fuori Bologna
607001;315;COPPARO VIALE MORO;V.LE MORO A. 9;COPPARO;612;N/A;44.892287, 11.819887;Fuori Bologna;Fuori Bologna
607002;314;SALETTA EX STAZIONE;VIA STAZIONE 123;COPPARO;612;N/A;44.884902, 11.771915;Fuori Bologna;Fuori Bologna
607002;623;SALETTA EX STAZIONE;VIA STAZIONE 123;COPPARO;612;N/A;44.884902, 11.771915;Fuori Bologna;Fuori Bologna
607004;623;SALETTA ALLEVAMENTO POLLI;VIA STAZIONE F46;COPPARO;612;N/A;44.887372, 11.771375;Fuori Bologna;Fuori Bologna
607006;314;SALETTA;VIA PIZZARDI A. 8;SALETTA;612;N/A;44.890999, 11.772157;Fuori Bologna;Fuori Bologna
607007;623;SALETTA;VIA PIAZZA 4;SALETTA;612;N/A;44.890599, 11.771226;Fuori Bologna;Fuori Bologna
607009;314;STRADA CA` MATTE;VIA CA MATTE 25;COPPARO;612;N/A;44.899034, 11.770466;Fuori Bologna;Fuori Bologna
607011;315;COPPARO VIALE MORO;V.LE MORO A. 10;COPPARO;612;N/A;44.892314, 11.819179;Fuori Bologna;Fuori Bologna
607011;314;COPPARO VIALE MORO;V.LE MORO A. 10;COPPARO;612;N/A;44.892314, 11.819179;Fuori Bologna;Fuori Bologna
607012;314;CA` MATTE;VIA CAMATTE 73;COPPARO;612;N/A;44.904328, 11.77081;Fuori Bologna;Fuori Bologna
607014;314;VIA CA` MATTE 92;VIA CA MATTE 92;COPPARO;612;N/A;44.907537, 11.776563;Fuori Bologna;Fuori Bologna
607018;314;POSSESSIONE PALAZZO;DAZIO DI GUARDA 128;COPPARO;612;N/A;44.905848, 11.799637;Fuori Bologna;Fuori Bologna
607022;316;BERCO [013];VICOLO PRIMO MAGGIO 227;COPPARO;612;N/A;44.891589, 11.818979;Fuori Bologna;Fuori Bologna
607022;314;BERCO [013];VICOLO PRIMO MAGGIO 227;COPPARO;612;N/A;44.891589, 11.818979;Fuori Bologna;Fuori Bologna
607031;310;SEMINIATO;VIA GUARDA F95;COPPARO;612;N/A;44.92574, 11.827493;Fuori Bologna;Fuori Bologna
607032;316;COPPARO AUTOSTAZIONE [001;VIA CARDUCCI 17;COPPARO;612;N/A;44.892218, 11.823404;Fuori Bologna;Fuori Bologna
607033;315;PONTE CARINA [196];VIA ARGINE CORLETTO 1;COPPARO;612;N/A;44.901128, 11.926043;Fuori Bologna;Fuori Bologna
