osm_id,stop_name,lat,lon
1628755043,Piazza Maggiore-San Pietro,44.4967099,11.3430831
1628755048,Piazza Maggiore-San Pietro,44.4972202,11.343272
9051116207,Santa Viola,44.5069912,11.3050849
9105815609,Ca' dei Fiori,44.5136752,11.3473545
12871565788,Santa Viola,44.5070375,11.3051174
13341332965,Paladozza-Riva Reno,44.4981633,11.3315835
13341332966,Paladozza-San Felice,44.4976675,11.3317013
13354425635,Indipendenza-8 Agosto,44.5008627,11.3442535
13354425636,Indipendenza-8 Agosto,44.5008531,11.3443268
13354425637,Stazione Centrale,44.5043239,11.3453175
13354425638,Stazione Centrale,44.5043307,11.3452508
13357590289,Ugo Bassi,44.4955415,11.3382947
13357590290,Ugo Bassi,44.4956081,11.3383091
13357590291,Porta San Felice,44.4989529,11.3280066
13357590292,Porta San Felice,44.498997,11.3280357
13363457120,Canale di Reno-Lame,44.4985202,11.3351271
13365802417,Mille,44.5019193,11.3409642
13365802418,Mille,44.5018935,11.3409547
13374217280,Michelino-Fiera nord,44.5120613,11.3706743
13374217281,Michelino-Fiera nord,44.5120748,11.3707273
13374217288,Viale della Fiera-Liceo Copernico,44.5074098,11.3677322
13374217289,Viale della Fiera-Liceo Copernico,44.5074566,11.3676925
13374217290,Aldo Moro-Regione-Fiera,44.5095489,11.3620525
13374217291,Aldo Moro-Regione-Fiera,44.509514,11.3619814
13392712440,Stalingrado,44.5105283,11.3572651
13392712441,Stalingrado,44.5106383,11.3563668
13392739292,Saffi,44.5018414,11.3200216
13392739293,Saffi,44.5018174,11.3200031
13410306190,Emilio Lepido,44.5232369,11.2621559
13410306191,Emilio Lepido,44.5232201,11.2622004
13410343024,Villaggio Ina,44.5210477,11.2646367
13410343025,Villaggio Ina,44.5210753,11.2646523
13410345307,Ducati,44.5191341,11.2701822
13410345308,Ducati,44.5191739,11.2702074
13418593843,Manuzio,44.5169853,11.2764918
13418593844,Manuzio,44.5167291,11.277115
13421833623,Pontelungo,44.5089096,11.2964947
13421833624,Pontelungo,44.5089505,11.2965104
13424466059,Repubblica,44.5059448,11.3615438
13424466060,Repubblica,44.5059139,11.3614718
13424478648,Piazza Spadolini,44.5038762,11.3667879
13424478649,Piazza Spadolini,44.5039,11.3667984
13424500686,San Donato,44.5052614,11.3716948
13424500687,San Donato,44.5053004,11.3716615
13442424503,Zucca,44.511192,11.3484653
13526099306,Ospedale Maggiore,44.5039062,11.3141969
13526099307,Ospedale Maggiore,44.5036493,11.3148338
13526099308,Prati di Caprara,44.5053735,11.3098742
13526099309,Prati di Caprara,44.5051953,11.3104895
13528949479,Triumvirato,44.5114435,11.2894567
13528949480,Triumvirato,44.511397,11.2894238
13565651721,Zucca,44.5117838,11.3480167
13570510754,Ca' dei Fiori,44.5136854,11.3472839
13573836572,San Donnino,44.5078838,11.3768013
13573836573,San Donnino,44.5078525,11.3768561
13573955889,Lipparini,44.5404403,11.3562655
13573955890,Lipparini,44.5404353,11.3561969
13598061733,Bentini,44.5426171,11.3560035
13598061734,Bentini,44.5426139,11.3559402
13643961808,Caserme Rosse,44.5247686,11.3494
13643961809,Caserme Rosse,44.5247779,11.3493402
13666719116,Ippodromo,44.517691,11.347908
13666719117,Ippodromo,44.5176945,11.347836
13666719118,Aldini Valeriani,44.5217474,11.3482266
13666719119,Aldini Valeriani,44.5217465,11.348165
13673102518,Don Fiammelli,44.5379784,11.3564075
13673102519,Don Fiammelli,44.5379907,11.3563372
13852696967,Stazione Borgo  Panigale,44.5144003,11.2836901
13852696968,Stazione Borgo  Panigale,44.5142567,11.2839181
