Station_Name,Latitude,Longitude,Population_Served,Type
CAVALIERI DUCATI FRONTE 118/2,44.5155458,11.2545557,82.875,bus
VILLA BOSCHI@,44.50839211,11.25230542,82.875,bus
VILLAGGIO SPERANZA,44.51613672,11.2502148,82.875,bus
COLLEGIO SAN LUIGI@,44.50707664,11.25686148,82.875,bus
RIGOSA@,44.51138019,11.23924485,82.875,bus
LA PICCIONAIA@,44.5098651,11.24576741,82.875,bus
OLMETOLA@,44.51023507,11.24148679,82.875,bus
BOIARDO@,44.51121092,11.26048094,82.875,bus
BOIARDO14@,44.50799366,11.25871949,82.875,bus
CASE OSTI,44.548573975,11.31812495,81.0,bus
SOSTEGNO,44.53220077,11.33663598,81.0,bus
CAVE,44.54520909,11.32051612,81.0,bus
ROTONDA GRANATIERI - AVIS,44.507472625,11.31214441,79.33333333333333,bus
OSPEDALE MAGGIORE - MATERNITA`,44.50653371,11.315703235,79.33333333333333,bus
CADRIANO MATTEOTTI,44.54749688,11.39802006,65.76923076923077,bus
MURATORE,44.50086034,11.410389125,63.15,bus
ELETTRICISTA,44.502503565,11.401768505,63.15,bus
ROTONDA NEGRONI,44.50186699,11.41863303,63.15,bus
FRESATORE,44.500987045,11.40763837,63.15,bus
VETRAIO,44.50503017,11.42150395,63.15,bus
ROTONDA ACQUA FRESCA,44.503939985,11.41289678,63.15,bus
CERAMISTA,44.499152519999996,11.39730421,63.15,bus
FONDITORE,44.501928355000004,11.404676214999999,63.15,bus
CARROZZAIO,44.499071705000006,11.395793439999998,63.15,bus
CERODOLO,44.502240889999996,11.399449820000001,63.15,bus
AEROPORTO,44.52942133,11.29270497,58.0,bus
VILLA SALTARELLI@,44.527563075,11.285764325,58.0,bus
CASERMA R.R.A.E.@,44.529411225000004,11.286967335,58.0,bus
AEROCLUB@,44.5310122,11.28815272,58.0,bus
CASE SAVINI@,44.52728011,11.28082187,58.0,bus
CASE GHEDINI@,44.525544925,11.28796351,58.0,bus
MONTE CUCCOLINO,44.464868755,11.32877626,57.03448275862069,bus
VILLA COLONNA,44.47350429,11.34663335,57.03448275862069,bus
SABBIUNO CASETTA,44.42093356,11.31304148,57.03448275862069,bus
GAIBOLA,44.46659713,11.31998126,57.03448275862069,bus
BIVIO SAN VITTORE,44.46419284,11.34265691,57.03448275862069,bus
PARCO CAVAIONI,44.44226643,11.30397492,57.03448275862069,bus
BATTIVENTO,44.47126624,11.34686816,57.03448275862069,bus
CIPPO SABBIUNO,44.421524434999995,11.314717869999999,57.03448275862069,bus
TIRO AL PIATTELLO,44.44370738,11.30932373,57.03448275862069,bus
PADERNO,44.447923345,11.31510606,57.03448275862069,bus
VILLA SAMPIERA,44.47460385,11.34818703,57.03448275862069,bus
OSSERVANZA,44.48110089,11.32667229,57.03448275862069,bus
CASA CANTINELLA,44.455803145000004,11.319321875,57.03448275862069,bus
CAVAIONI,44.442144315,11.308140179999999,57.03448275862069,bus
BELLA RIPA,44.47418794,11.34975064,57.03448275862069,bus
SABBIUNO,44.42899395,11.314684584999998,57.03448275862069,bus
FORTE,44.453900215,11.317215855,57.03448275862069,bus
LUMIERA,44.43560086,11.313209595,57.03448275862069,bus
FONTANINA,44.47229809,11.338229585,57.03448275862069,bus
CALANCHI,44.42816867,11.31546822,57.03448275862069,bus
VILLA ALDINI,44.481090030000004,11.328805235,57.03448275862069,bus
LASTRE,44.44898842,11.32345062,57.03448275862069,bus
CA` DI SAVINI,44.458285095,11.32167292,57.03448275862069,bus
BIVIO GAIBOLA,44.462091275000006,11.32580362,57.03448275862069,bus
GAIBOLA CHIESA,44.462911065,11.319595955,57.03448275862069,bus
RONCRIO,44.46808275,11.33704679,57.03448275862069,bus
VILLA GUASTAVILLANI,44.46747606,11.34643412,57.03448275862069,bus
CA` BRUCIATA,44.43862545,11.309352585,57.03448275862069,bus
SAN SISTO,44.52005217,11.400761135,49.73076923076923,bus
MENARINI,44.51847915,11.39712498,49.73076923076923,bus
SAN DONATO 240-246,44.5229935,11.40759946,49.73076923076923,bus
PICCOLO COW BOY,44.52441574,11.41115161,49.73076923076923,bus
PARCHEGGIO TANARI,44.50688306,11.32676097,48.0,bus
ROTONDA C.N.R.,44.5219928,11.33774559,48.0,bus
MALVASIA,44.5029793,11.32551906,48.0,bus
SCALO SAN DONATO,44.50778175,11.39662138,40.0,bus
CASAGLIA 53,44.47247225,11.30836187,37.0,bus
CASAGLIA CHIESA,44.464835539999996,11.300820105,37.0,bus
SAN LUCA 35,44.48076015,11.30073141,37.0,bus
CASAGLIA SCUOLE,44.47754321,11.30990808,37.0,bus
SAN LUCA 15,44.48567768,11.30227354,37.0,bus
CASAGLIA 63,44.46077129,11.299905395,37.0,bus
CASAGLIA 64,44.457410550000006,11.299103505000001,37.0,bus
CASAGLIA 53/2,44.47022081,11.30405582,37.0,bus
CASAGLIA 32-34,44.4839101,11.31297474,37.0,bus
MONTE ALBANO 21,44.46767869,11.3015459,37.0,bus
MONTE ALBANO GESSAROLI,44.46682433,11.29227294,37.0,bus
MONTE ALBANO 11,44.47553604,11.29373083,37.0,bus
MONTE PRADONE 66,44.45364398,11.29795109,37.0,bus
MONTE ALBANO 38,44.46964072,11.30201907,37.0,bus
BASILICA DI SAN LUCA,44.47933249,11.29640943,37.0,bus
MONTE PRADONE,44.45119013,11.29619267,37.0,bus
MONTE ALBANO 15,44.47105934,11.29334558,37.0,bus
FIORINI,44.51368852,11.42155049,33.69230769230769,bus
COMMERCIO ASSOCIATO,44.51764753,11.40178297,33.69230769230769,bus
FRULLO (BIVIO),44.52754571,11.41780597,33.69230769230769,bus
CARNACINI,44.51574326,11.3986321,33.69230769230769,bus
QUARTO CENTRO,44.52993971,11.42205819,33.69230769230769,bus
FACOLTA` DI AGRARIA,44.513307749999996,11.407177965,33.69230769230769,bus
ROTONDA BARONI,44.515282150000004,11.40140659,33.69230769230769,bus
BELLARIA VECCHIA,44.46250437,11.40464699,30.0,bus
SAN LAZZARO MARZABOTTO,44.46354554,11.40765176,30.0,bus
CROARA BIVIO,44.464254685,11.400268709999999,30.0,bus
PONTEBUCO BIVIO,44.46308801,11.402995885,30.0,bus
SAN LAZZARO MODENA,44.465452,11.40748425,30.0,bus
HOSPICE SERAGNOLI,44.46570935,11.396200024999999,30.0,bus
ALTURA,44.46402040666667,11.393463423333335,30.0,bus
OSPEDALE BELLARIA,44.464353509999995,11.390635379999999,30.0,bus
MICHELINOFIERA NORD,44.5120748,11.3707273,1.9090909090909092,tram
ALDO MOROREGIONEFIERA,44.509514,11.3619814,1.9090909090909092,tram
FIERA PALAZZO CONGRESSI,44.511618364,11.361442742,1.9090909090909092,bus
CADRIANO ROMA,44.56156765,11.40927558,0.0,bus
CADRIANO SCUOLE ELEMENTARI,44.55625474,11.40606273,0.0,bus
ZOLA PREDOSA SAN PANCRAZIO,44.49658463,11.202284815,0.0,bus
ZOLA PREDOSA CHIESA,44.492634245000005,11.21417836,0.0,bus
ZOLA PREDOSA,44.49424938,11.208862595,0.0,bus
VILLA ZARRI,44.55955147,11.35626506,0.0,bus
CADRIANO GANDOLFI,44.55171021,11.40141147,0.0,bus
TOLARA BIVIO,44.439373759999995,11.49089812,0.0,bus
CAMPANA,44.451992794999995,11.457507875000001,0.0,bus
VIADAGOLA CENTRO SPORTIVO,44.55374694,11.43709528,0.0,bus
VIADAGOLA,44.55460178,11.434303,0.0,bus
CADRIANO,44.54962406,11.39947656,0.0,bus
CARTERIA CHIESA,44.428198205,11.3526612,0.0,bus
CARTERIA DI SESTO,44.43044068499999,11.352321284999999,0.0,bus
CARTERIA PUCCINI,44.420591295,11.349091869999999,0.0,bus
CARTERIA SCUOLE,44.42636244,11.351290843333333,0.0,bus
TREBBO RISORGIMENTO,44.55552925,11.32193213,0.0,bus
