Scenario,Avg_Travel_Time_Sec,Global_Efficiency,Tram_Pop_Served
Solo Bus,2162.6878292792703,0.0006582947379763093,0.0
Tram Pianificato (TPER),2183.886577752485,0.000689996713322368,33106.79953717071
Tram Ottimizzato (Algorithm),2060.4033611776586,0.0006884785311315073,42230.67127971656
