Scenario,N,M,L,C,E_glob,Sigma,Omega
Bus Only,1212,1482,2164.3622692812305,0.011297022559398797,0.0006580500883951491,2.350203401647304,0.0
Planned Tram,1283,1570,2185.480518829855,0.012386587172245785,0.0006897546251800302,4.293430466293971,0.0
