Scenario,Avg_Travel_Time_Sec,Global_Efficiency,Tram_Pop_Served
Bus Only,2162.6878292792703,0.0006582947379763093,0
Planned Tram,2183.886577752485,0.000689996713322368,33106
Circular Tram,2155.9223195246414,0.0007020162651536296,45227
Optimal Tram,2165.979531249461,0.0006464657126831079,42230
