station1,station2,line,time
249,270,19,1
247,271,19,1
245,271,19,3
240,242,19,1
236,239,19,1
258,272,19,1
272,273,19,1
273,274,19,1
274,275,19,1
265,275,19,28
251,267,19,4
236,269,19,17
259,276,19,5
276,277,19,1
277,278,19,2
278,279,19,3
265,279,19,40
277,280,19,2
259,280,19,4
258,281,19,3
281,282,19,3
282,283,19,1
283,284,19,1
284,285,19,1
285,286,19,5
286,287,19,2
265,287,19,34
259,281,19,2
251,265,19,2
76,265,19,2
75,76,19,1
75,233,19,1
104,233,19,1
103,104,19,1
28,103,19,2
28,29,19,1
29,81,19,2
260,281,19,1
76,251,19,4
288,289,20,1
289,290,20,1
290,291,20,2
291,292,20,2
292,293,20,1
293,294,20,2
294,295,20,1
295,296,20,2
296,297,20,1
297,298,20,1
298,299,20,1
299,300,20,1
300,301,20,1
301,302,20,1
302,303,20,1
38,303,20,2
38,164,20,1
164,165,20,1
165,166,20,1
166,304,20,1
162,304,20,2
76,162,20,2
75,76,20,1
75,233,20,1
104,233,20,1
103,104,20,1
103,234,20,2
234,305,20,1
305,306,20,2
306,307,20,1
307,308,20,1
308,309,20,1
309,310,20,1
310,311,20,2
219,311,20,2
218,219,20,2
218,312,20,2
215,312,20,1
215,313,20,2
217,313,20,1
314,315,20,1
315,316,20,1
289,316,20,2
317,318,20,1
293,318,20,2
303,319,20,1
38,319,20,1
104,162,20,4
305,310,20,6
217,306,20,11
76,309,20,11
320,321,20,1
321,322,20,1
322,323,20,2
323,324,20,2
324,325,20,2
325,326,20,2
288,326,20,1
217,327,20,1
327,328,20,2
219,328,20,2
310,329,20,1
307,329,20,1
102,305,20,2
102,103,20,1
76,233,20,2
162,163,20,1
163,190,20,1
48,190,20,1
39,48,20,1
39,319,20,1
299,301,20,2
293,317,20,2
39,303,20,2
316,326,20,2
326,330,20,3
324,330,20,2
316,331,20,2
331,332,20,1
314,332,20,1
288,316,20,1
39,190,20,1
62,66,27,6
74,104,27,4
28,103,27,2
28,29,27,1
24,65,27,14
44,104,27,2
54,81,27,2
54,235,27,2
102,235,27,2
104,333,27,1
25,333,27,1
334,335,35,4
335,336,35,1
248,336,35,1
248,249,35,1
249,250,35,1
250,251,35,1
251,265,35,2
76,265,35,2
75,76,35,1
44,75,35,1
24,44,35,2
24,74,35,2
73,74,35,1
73,337,35,1
337,338,35,1
338,339,35,1
339,340,35,1
340,341,35,1
341,342,35,1
342,343,35,1
343,344,35,1
310,344,35,1
310,311,35,2
220,311,35,2
213,220,35,2
212,213,35,2
211,212,35,1
211,345,35,1
215,345,35,1
215,313,35,2
216,313,35,1
216,346,35,2
346,347,35,1
347,348,35,2
216,348,35,2
216,217,35,2
