Station_ID,Station_Name,Latitude,Longitude,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
1,STAZIONE CENTRALE,44.50576575,11.34317589,2,0.001597444089456869,0.0006778292850645642,0.0,2
10,PORTA GALLIERA,44.50444281,11.3463873,8,0.006389776357827476,0.0007093877203046004,0.06670191003746524,2
100,PIAZZA MAGGIORE,44.4943692,11.3436723,2,0.001597444089456869,0.0007039299465831103,0.003968710016012749,2
10001,IDICE,44.45985295,11.43665318,3,0.0023961661341853034,0.00033506836200590794,0.011557527141226317,2
10002,IDICE,44.46003544,11.436539,3,0.0023961661341853034,0.00033494876711064124,0.012031269553047659,2
10003,IDICE TRE PONTI,44.45657296,11.44419111,2,0.001597444089456869,0.0003217984529505222,0.0006014357842799243,2
10005,IDICE TRE PONTI,44.45650543,11.44466436,2,0.001597444089456869,0.0003151335367561345,0.009232230828755525,1
10006,IDICE TRE PONTI,44.45681162,11.4442922,2,0.001597444089456869,0.0003156386111248997,0.009232230828755525,1
10009,MARESCOTTA,44.45412812,11.4516194,2,0.001597444089456869,0.00030019262136670854,0.007699910359252534,1
10010,MARESCOTTA,44.45459228,11.45070402,2,0.001597444089456869,0.00030170447583497995,0.007699910359252534,1
10013,CAMPANA,44.45203565,11.45708549,2,0.001597444089456869,0.0002890661635146433,0.00616503602230037,1
10014,CAMPANA,44.45194994,11.45793026,2,0.001597444089456869,0.00028728935041813676,0.00616503602230037,1
10017,OLMATELLO,44.4483912,11.46692389,2,0.001597444089456869,0.0002713680628167718,0.0046276078178990356,1
10018,OLMATELLO,44.44853072,11.46697689,2,0.001597444089456869,0.0002710356319591819,0.0046276078178990356,1
1002,PORTA MAGGIORE,44.48988493,11.3581904,4,0.003194888178913738,0.0007011262831862899,0.046744712855913355,2
10021,OZZANO,44.44511505,11.47556707,2,0.001597444089456869,0.0002573903820459212,0.0030876257460485286,1
10022,OZZANO,44.44494148,11.4763059,2,0.001597444089456869,0.00025602602713428984,0.0030876257460485286,1
10025,OZZANO PIAVE,44.44142188,11.48524403,2,0.001597444089456869,0.00024334940066737638,0.0015450898067488502,1
10026,OZZANO PIAVE,44.44138113,11.48582349,2,0.001597444089456869,0.00024239663088263116,0.0015450898067488502,1
10029,TOLARA BIVIO,44.43938928,11.49070244,1,0.0007987220447284345,0.00023598859490097624,0.0,1
1003,PORTA MAGGIORE,44.48966894,11.35829567,3,0.0023961661341853034,0.0007093685028499213,0.057834882253941254,2
10030,TOLARA BIVIO,44.43935824,11.4910938,1,0.0007987220447284345,0.00023528350918398426,0.0,1
1004,ALBERTONI,44.48783117,11.36336834,2,0.001597444089456869,0.0006522944114731623,0.0,2
1005,ALBERTONI,44.48791017,11.36291271,2,0.001597444089456869,0.0006898815398708095,0.0565515638607325,2
1006,ALEMANNI - AGEOP RICERCA,44.48656268,11.36676841,3,0.0023961661341853034,0.0006275487441009478,0.042834741791231555,2
1008,ALBERTONI,44.48854535,11.36159918,2,0.001597444089456869,0.0006675638203965228,0.04385884263834938,2
1009,ALEMANNI - AGEOP RICERCA,44.48711477,11.36507885,3,0.0023961661341853034,0.0006867342652229153,0.07783038744723071,2
1010,LAURA BASSI,44.48517234,11.37050999,2,0.001597444089456869,0.000602580698578493,0.04180553320921537,2
1011,LAURA BASSI,44.48551226,11.36939589,2,0.001597444089456869,0.0006479319486462195,0.06633159925733535,2
1012,FERMI,44.48393846,11.37375786,2,0.001597444089456869,0.0005846620466200768,0.040946156812569114,2
1013,FERMI,44.48439907,11.37225258,2,0.001597444089456869,0.0006246260893375946,0.0652359901216407,2
1018,MAZZINI STAZIONE,44.48301643,11.37596748,2,0.001597444089456869,0.0005738344307569762,0.04016850417429635,2
1019,MAZZINI STAZIONE,44.48274896,11.3765445,2,0.001597444089456869,0.0006002881767727332,0.06428339756309968,2
1020,PONTEVECCHIO,44.4818874,11.37906298,2,0.001597444089456869,0.0005615079195306465,0.039464913692049554,2
1021,PONTEVECCHIO,44.48143292,11.38045916,3,0.0023961661341853034,0.0005815849076061802,0.06914340731887333,2
1022,VILLA PARADISO,44.48107787,11.38159216,3,0.0023961661341853034,0.000553460283950145,0.044072090570355216,2
