Station_ID,Station_Name,Latitude,Longitude,Community_ID
2129,ISTITUTO MANFREDI TANARI,44.48881017,11.38726685,3
2130,ETRURIA,44.48963887,11.38031992,3
2133,MARX,44.48574764,11.38606235,3
22,PORTA MAGGIORE,44.49188037,11.35712682,2
2201,MASIA,44.49779851,11.36402354,3
2202,MASIA,44.49656024,11.36436969,3
2203,CIRENAICA,44.49583114,11.36431032,3
2204,CIRENAICA,44.49470431,11.36465467,3
2205,BENTIVOGLI,44.49321421,11.36469034,3
2301,CROCE DEL BIACCO,44.49058182,11.39903002,2
2302,CROCE DEL BIACCO,44.49049067,11.39884236,2
2303,MARTELLI,44.49263572,11.40041286,2
2304,MARTELLI,44.49276113,11.40033548,2
2448,LARGA STAZIONE,44.49872449,11.39429361,2
2451,LARGA,44.49514563,11.39235138,2
2452,LARGA,44.49498382,11.39201774,2
2453,CARROZZAIO,44.49917004,11.39574637,2
2454,CARROZZAIO,44.49897337,11.39584051,2
2455,CERAMISTA,44.49923631,11.39760128,2
2456,CERAMISTA,44.49906873,11.39700714,2
2457,LARGA STAZIONE,44.49817673,11.39412001,2
2459,CERODOLO,44.50224546,11.39949993,2
2460,CERODOLO,44.50223632,11.39939971,2
2461,ELETTRICISTA,44.50247377,11.40175391,2
2462,ELETTRICISTA,44.50253336,11.4017831,2
2463,FONDITORE,44.50186788,11.40471579,2
2464,FONDITORE,44.50198883,11.40463664,2
2467,FRESATORE,44.50093103,11.40765296,2
2468,FRESATORE,44.50104306,11.40762378,2
2469,MURATORE,44.50080149,11.41045824,2
2470,MURATORE,44.50091919,11.41032001,2
2472,ROTONDA ACQUA FRESCA,44.50358753,11.41318729,2
2476,ROTONDA NEGRONI,44.50186699,11.41863303,2
2477,ROTONDA ACQUA FRESCA,44.50429244,11.41260627,2
2479,VETRAIO,44.50503017,11.42150395,2
2482,INDUSTRIA,44.50474693,11.39492449,2
2485,INDUSTRIA,44.50488541,11.39476033,2
2486,CARPENTIERE,44.50430621,11.39125518,2
2487,CARPENTIERE,44.50451676,11.39146428,2
2488,PILASTRO VECCHIO,44.50755804,11.38834217,2
2491,INNOCENTI,44.49989703,11.39513071,2
2492,INNOCENTI,44.49993348,11.39502607,2
2493,ENZO FERRARI,44.50241025,11.39679821,2
2494,ENZO FERRARI,44.50246172,11.396625,2
2495,SCALO SAN DONATO,44.50790239,11.3966908,2
2496,SCALO SAN DONATO,44.50766111,11.39655196,2
2497,PIANETA,44.49677196,11.39128535,2
2498,SCUOLE SCANDELLARA,44.49667121,11.38478521,2
25,PORTA SAN VITALE,44.49285467,11.35737739,0
26,CARDUCCI,44.4866652,11.35776272,4
27,PORTA MAGGIORE,44.49096432,11.35763496,2
28,PORTA SANTO STEFANO,44.48467453,11.35525385,4
29,CARDUCCI,44.48822898,11.35791928,8
3,STAZIONE CENTRALE,44.50544812,11.34379295,8
30,GIARDINI MARGHERITA,44.48500519,11.35239757,4
30001,GRANAROLO FOGGIA NUOVA,44.53753819,11.4337605,2
30003,GRANAROLO DE ROSSI,44.55829624,11.45069742,2
30005,GRANAROLO HOTEL KING,44.54176823,11.44061229,2
30009,GRANAROLO MATTEUCCI,44.54632288,11.44362779,2
30013,GRANAROLO ROMA,44.55030276,11.44607264,2
30014,GRANAROLO ROMA,44.55163096,11.44672714,2
30017,GRANAROLO,44.5548561,11.44898478,2
30018,GRANAROLO,44.55456956,11.44858387,2
30021,GRANAROLO TARTARINI,44.55692102,11.45026926,2
30022,GRANAROLO TARTARINI,44.55754882,11.45054824,2
3003,MERCATO SAN DONATO,44.50279922,11.36294734,5
3004,SANT`EGIDIO,44.49917902,11.35935844,5
3006,MERCATO SAN DONATO,44.50290911,11.36288496,5
3007,SANT`EGIDIO,44.49904059,11.35951858,5
301,SFERISTERIO,44.50044908,11.34720661,1
3010,CENTRO ZANARDI,44.50394231,11.36695062,5
3012,SAN DONATO,44.50497647,11.37077431,5
3014,SIRENELLA,44.50607346,11.37338356,5
3015,SAN DONNINO,44.50943974,11.38038474,5
3017,CADRIANO BIVIO,44.51109765,11.38388282,5
3018,SAN DONNINO,44.50868222,11.37820957,5
3019,PIRANDELLO,44.51171743,11.38948797,5
302,SFERISTERIO,44.50069116,11.3467344,5
3020,CADRIANO BIVIO,44.51184256,11.38479632,5
3022,PIRANDELLO,44.5117616,11.38977049,2
3025,SVEVO,44.50844589,11.39452092,5
3026,PILASTRO,44.51042507,11.39590019,2
3027,DELEDDA,44.51010584,11.39992796,5
303,IRNERIO,44.4997928,11.34978799,5
304,IRNERIO,44.49999648,11.34954145,5
305,PORTA SAN DONATO,44.49842999,11.35514117,5
3051,BIVIO PILASTRO,44.51006636,11.38347047,2
3052,SALGARI,44.51434878,11.39006265,5
3053,PILASTRO VECCHIO,44.50787583,11.38942292,2
3054,NEGRI,44.51351226,11.3957995,5
3055,C.S. RECORD,44.50796414,11.3916808,2
3056,PILASTRO,44.51107229,11.39581271,5
3059,SVEVO,44.50818135,11.39530265,2
306,PORTA SAN DONATO,44.49891781,11.35377796,5
3074,PANZINI,44.50935826,11.39329942,5
3075,SIGHINOLFI,44.51109042,11.400761,2
3076,SIGHINOLFI,44.51122389,11.40155752,2
3101,BEROALDO,44.50225729,11.36667249,2
3102,GALEOTTI,44.50265888,11.36469728,2
3103,DUSE,44.50130267,11.36926602,2
3104,CAMPO SAVENA,44.50114055,11.36704554,2
3105,CALINDRI,44.50051911,11.37123352,2
3106,DUSE,44.50013874,11.3701772,2
3107,ARTIGIANO,44.50303752,11.36706457,5
3108,TERRAPIENO MONDO,44.4992831,11.37698842,2
3109,ANDREINI,44.50054617,11.3735051,2
3110,MONDO,44.49902521,11.37261633,2
3111,BEOLCO,44.50300955,11.37401629,2
3112,ANDREINI,44.50141693,11.37357033,2
3113,GIARDINO GINO CERVI,44.50512094,11.37241939,2
3114,BEOLCO,44.50300474,11.37376058,2
3115,MAGAZZARI,44.50389286,11.37230716,5
3116,TERRAPIENO,44.50080906,11.37852691,2
3118,GIARDINO GINO CERVI,44.50501144,11.37236786,2
3120,MAGAZZARI,44.50406701,11.37249071,2
3122,RISTORI,44.50213146,11.37200255,2
3131,NUOVA,44.49816702,11.37297458,4
3132,NUOVA,44.4983116,11.37305671,8
3133,STAZIONE SAN VITALE,44.49589352,11.37193504,4
3134,STAZIONE SAN VITALE,44.49594856,11.37215661,8
3151,CAVALCAVIA SAN DONATO,44.49940843,11.36031896,3
3152,CAVALCAVIA SAN DONATO,44.5003831,11.36167201,3
3153,ROSSI,44.49872286,11.36337616,3
3154,ROSSI,44.4987506,11.36287886,3
3161,MERCATO SAN DONATO,44.50208881,11.36334397,5
3165,LIBIA,44.49418425,11.36574834,2
32006,GRANAROLO SCUOLA MEDIA,44.5515947,11.44436184,2
32008,GRANAROLO DALLA CHIESA,44.55245249,11.44132422,2
3201,VESTRI,44.50708276,11.35744991,2
32010,VIADAGOLA CENTRO SPORTIVO,44.55374694,11.43709528,2
32014,VIADAGOLA,44.55460178,11.434303,2
3202,REPUBBLICA,44.50402216,11.36350468,2
32022,VIADAGOLA CHIESA,44.55636187,11.42913765,2
32026,CADRIANO ROMA,44.56156765,11.40927558,2
3203,LAVORO,44.50523139,11.35931256,2
32030,CADRIANO SCUOLE ELEMENTARI,44.55625474,11.40606273,2
32034,CADRIANO GANDOLFI,44.55171021,11.40141147,2
32038,CADRIANO,44.54962406,11.39947656,2
3204,RUGGERI,44.50489809,11.36068289,2
32042,CADRIANO MATTEOTTI,44.54749688,11.39802006,2
3205,PEZZANA,44.50393356,11.36060779,5
3206,NOVELLI,44.50663453,11.36106044,8
3208,LAVORO,44.50538159,11.35936816,2
3210,VESTRI,44.50677599,11.35800051,2
3212,DOPOLAVORO FERROVIARIO,44.50802935,11.35351289,2
3214,BIGARI,44.50838684,11.35131994,2
3216,CRETI,44.50974616,11.35006621,2
33,PORTA SANTO STEFANO,44.48498771,11.35711821,8
3301,CAVALCAVIA MASCARELLA,44.50689527,11.35511186,4
3302,CAVALCAVIA MASCARELLA,44.50716093,11.35510763,8
3303,STALINGRADO,44.50876671,11.35611902,4
3304,STALINGRADO,44.50915064,11.35602756,8
3305,STALINGRADO PARRI,44.51229817,11.35788044,4
3307,FIERA ALDO MORO,44.50859454,11.3628152,2
3308,STALINGRADO PARRI,44.5122206,11.35752268,8
3319,DOZZA,44.52889371,11.3670467,3
3320,DON GNOCCHI,44.52528694,11.36167417,3
3321,APOSAZZA,44.53335336,11.36777886,3
3322,PARCHEGGIO PARCO NORD,44.52721569,11.36466628,3
3326,DOZZA,44.52824853,11.3661695,3
3327,DON GNOCCHI,44.52598517,11.36289948,3
3328,APOSAZZA,44.53331563,11.36748156,3
3329,PARCHEGGIO PARCO NORD,44.52695472,11.36476976,3
3331,PARCHEGGIO COSTITUZIONE,44.51035371,11.359704,8
3335,FIERA PALAZZO CONGRESSI,44.51093344,11.36130706,4
3337,MONDO,44.49954884,11.37313993,4
3338,FIERA PALAZZO CONGRESSI,44.51196498,11.36128757,8
3339,SERENA,44.50816717,11.36081805,4
3340,FIERA PALAZZO CONGRESSI,44.51191994,11.36147917,8
3341,NOVELLI,44.50580812,11.36255003,5
3342,FIERA PALAZZO CONGRESSI,44.51175199,11.36160135,2
3343,NOVELLI,44.50547576,11.36330241,2
3345,FIERA PALAZZO CONGRESSI,44.51152147,11.36153856,4
3347,ZACCONI,44.50431138,11.36448187,2
3349,PARCO NORD,44.52696913,11.36586677,3
3351,ALDO MORO,44.50710477,11.36435661,2
3352,ALDO MORO,44.50737571,11.3642339,2
