Macro_Zone_ID,Latitude,Longitude,Population_Served,Dwell_Penalty,Type,Zone_Name
25,44.510225706,11.382148784,2922.0,20.995153846153848,bus,SAN DONNINO
79,44.5171663225,11.274231180000001,1583.0,23.744999999999997,bus,SCALA
0,44.49195859729877,11.348996832633016,1364.857142857143,8.080395533595702,bus,ALBINI
78,44.51441474,11.28371699,1175.5714285714284,17.633571428571425,bus,BORGO PANIGALE STAZIONE
93,44.50387134,11.29415505,1041.6623376623377,15.624935064935064,bus,CENTRO VITTORIA - MAST
80,44.52129771,11.2642301,1026.6666666666667,15.4,bus,VILLAGGIO INA
74,44.520220775,11.294500345,969.5,14.542499999999999,bus,DUE PONTI
15,44.49344447,11.383496494,880.25,13.20375,bus,MASSARENTI SOTTOVIA
16,44.502684283,11.3966726095,880.25,4.012274175824176,bus,TANGENZIALE SAN VITALE
135,44.470708695,11.390590125,792.1111111111111,11.881666666666666,bus,ROMA
9,44.474258230000004,11.3948287525,792.1111111111111,11.7565625,bus,GENOVA
10,44.46675900322581,11.407677082258065,792.1111111111111,1.2512096774193546,bus,SAN LAZZARO FIUME SAVENA
72,44.506045977999996,11.28206283,768.1428571428571,8.512431818181819,bus,TRIUMVIRATO
73,44.51547182,11.29263735,768.1428571428571,11.522142857142857,bus,ACQUEDOTTO TRIUMVIRATO
55,44.516783383333326,11.337125203333335,687.9333333333333,9.211309523809524,bus,GOBETTI
44,44.54556534,11.356799434615384,658.0,9.380733173076923,bus,COLOMBAROLA
45,44.55355500333334,11.353201473333334,658.0,9.87,bus,BENTINI SOTTOVIA
96,44.51065406833334,11.25948848,554.7708333333334,2.4228645833333333,bus,CAVALIERI DUCATI
27,44.51080671666667,11.400748826666666,544.3076923076923,8.164615384615384,bus,DELEDDA
26,44.51349734,11.38983801,544.3076923076923,6.728999999999999,bus,PIRANDELLO
57,44.523386151,11.3237598582,503.0,6.506849999999999,bus,SELVA PESCAROLA
70,44.53738327,11.31705841,380.5,5.7075,bus,ZANARDI CINTURA FERROVIARIA
43,44.53594567,11.35636498,375.3125,5.6296875,bus,RONCAGLIO
42,44.5304546,11.35220892,375.3125,5.6296875,bus,CROCE COPERTA
134,44.44576365,11.357814736666667,333.25,2.9159375,bus,PAVESE
124,44.45264326,11.364791255,333.25,4.99875,bus,TOSCANA PIETRO DA ANZOLA
20,44.49667121,11.38478521,319.3333333333333,4.789999999999999,bus,SCUOLE SCANDELLARA
28,44.500046080000004,11.377757665,319.3333333333333,4.789999999999999,bus,TERRAPIENO MONDO
108,44.470726844,11.337906256,247.31724137931036,1.9972137931034482,bus,POLVERIERA
92,44.51397857,11.318729605000001,228.25,3.42375,bus,TERRACINI
69,44.51410722,11.3114361,228.25,3.42375,bus,ITC LUXEMBURG
34,44.533372692,11.36879292,180.5,2.7075,bus,APOSAZZA
140,44.46270298,11.35901518,179.125,2.6868749999999997,bus,VILLA BELCOLLE
101,44.50839211,11.25230542,82.875,1.243125,bus,VILLA BOSCHI@
97,44.5155458,11.2545557,82.875,1.243125,bus,CAVALIERI DUCATI FRONTE 118/2
98,44.51601942333334,11.247835613333335,82.875,1.243125,bus,VILLAGGIO SPERANZA
99,44.51080763,11.240365820000001,82.875,1.243125,bus,RIGOSA@
100,44.5098651,11.24576741,82.875,1.243125,bus,LA PICCIONAIA@
71,44.54520909,11.32051612,81.0,1.2149999999999999,bus,CAVE
19,44.50503017,11.42150395,63.15,0.9472499999999999,bus,VETRAIO
18,44.50186699,11.41863303,63.15,0.9472499999999999,bus,ROTONDA NEGRONI
17,44.503939985,11.41289678,63.15,0.9472499999999999,bus,ROTONDA ACQUA FRESCA
75,44.52942133,11.29270497,58.0,0.87,bus,AEROPORTO
77,44.52728011,11.28082187,58.0,0.87,bus,CASE SAVINI@
76,44.52800723571429,11.28707758,58.0,0.87,bus,CASE GHEDINI@
120,44.42871885666667,11.314945796666665,57.03448275862069,0.8555172413793103,bus,SABBIUNO
112,44.462911065,11.319595955,57.03448275862069,0.8555172413793103,bus,GAIBOLA CHIESA
113,44.45599615166666,11.319403549999999,57.03448275862069,0.8555172413793103,bus,CASA CANTINELLA
114,44.447923345,11.31510606,57.03448275862069,0.8555172413793103,bus,PADERNO
115,44.44149238166667,11.308938831666666,57.03448275862069,0.8555172413793103,bus,TIRO AL PIATTELLO
116,44.46659713,11.31998126,57.03448275862069,0.8555172413793103,bus,GAIBOLA
121,44.42132747666667,11.314159073333334,57.03448275862069,0.8555172413793103,bus,CIPPO SABBIUNO
117,44.43560086,11.313209595,57.03448275862069,0.8555172413793103,bus,LUMIERA
110,44.464868755,11.32877626,57.03448275862069,0.8555172413793103,bus,MONTE CUCCOLINO
111,44.462091275000006,11.32580362,57.03448275862069,0.8555172413793103,bus,BIVIO GAIBOLA
109,44.48109365,11.328094253333333,57.03448275862069,0.8555172413793103,bus,VILLA ALDINI
107,44.46419284,11.34265691,57.03448275862069,0.8555172413793103,bus,BIVIO SAN VITTORE
106,44.46747606,11.34643412,57.03448275862069,0.8555172413793103,bus,VILLA GUASTAVILLANI
118,44.44226643,11.30397492,57.03448275862069,0.8555172413793103,bus,PARCO CAVAIONI
119,44.44898842,11.32345062,57.03448275862069,0.8555172413793103,bus,LASTRE
35,44.51762721625,11.39987506,49.73076923076923,0.6256730769230769,bus,MENARINI
36,44.5229935,11.40759946,49.73076923076923,0.7459615384615385,bus,SAN DONATO 240-246
37,44.52441574,11.41115161,49.73076923076923,0.7459615384615385,bus,PICCOLO COW BOY
56,44.5219928,11.33774559,48.0,0.72,bus,ROTONDA C.N.R.
67,44.48076015,11.30073141,37.0,0.5549999999999999,bus,SAN LUCA 35
68,44.48567768,11.30227354,37.0,0.5549999999999999,bus,SAN LUCA 15
60,44.46744226,11.3018522,37.0,0.5549999999999999,bus,CASAGLIA 53/2
66,44.47933249,11.29640943,37.0,0.5549999999999999,bus,BASILICA DI SAN LUCA
65,44.47553604,11.29373083,37.0,0.5549999999999999,bus,MONTE ALBANO 11
64,44.47105934,11.29334558,37.0,0.5549999999999999,bus,MONTE ALBANO 15
63,44.46682433,11.29227294,37.0,0.5549999999999999,bus,MONTE ALBANO GESSAROLI
62,44.452417055,11.29707188,37.0,0.5549999999999999,bus,MONTE PRADONE 66
61,44.45909092,11.29950445,37.0,0.5549999999999999,bus,CASAGLIA 63
59,44.47247225,11.30836187,37.0,0.5549999999999999,bus,CASAGLIA 53
58,44.47754321,11.30990808,37.0,0.5549999999999999,bus,CASAGLIA SCUOLE
40,44.513307749999996,11.407177965,33.69230769230769,0.5053846153846154,bus,FACOLTA` DI AGRARIA
38,44.52754571,11.41780597,33.69230769230769,0.5053846153846154,bus,FRULLO (BIVIO)
41,44.51368852,11.42155049,33.69230769230769,0.5053846153846154,bus,FIORINI
136,44.464598134285716,11.393437297142857,30.0,0.4499999999999999,bus,HOSPICE SERAGNOLI
6,44.445028265,11.475936485,0.0,0.0,bus,OZZANO
105,44.456176234,11.273884304000001,0.0,0.0,bus,SAN BIAGIO MICCA
39,44.53073707,11.423393064999999,0.0,0.0,bus,QUARTO CENTRO
128,44.406476705,11.343099285000001,0.0,0.0,bus,PIAN DI MACINA GARGANELLI
122,44.39025295375,11.344537622499999,0.0,0.0,bus,PIANORO N. RESISTENZA
123,44.37284776599999,11.340693314000001,0.0,0.0,bus,PIANORO V. FONDOVALLE SAVENA
141,44.435258575,11.35484308,0.0,0.0,bus,RIOLO
2,44.45663000333334,11.444382556666667,0.0,0.0,bus,IDICE TRE PONTI
139,44.45080659,11.41016954,0.0,0.0,bus,ROTONDA PULCE
138,44.449314875,11.416295315,0.0,0.0,bus,SAN CAMILLO
137,44.45987112625,11.421994592499999,0.0,0.0,bus,CICOGNA FANTINI
3,44.454360199999996,11.451161710000001,0.0,0.0,bus,MARESCOTTA
4,44.451992794999995,11.457507875000001,0.0,0.0,bus,CAMPANA
133,44.379495954999996,11.34242213,0.0,0.0,bus,PIANORO STAZIONE
132,44.3844614975,11.3442867725,0.0,0.0,bus,PIANORO N.MUNICIPIO
131,44.395893305,11.342448715,0.0,0.0,bus,PIANORO N. ZONA ARTIGIANALE
130,44.399254935,11.345396489999999,0.0,0.0,bus,MUSIANO
129,44.401092590000005,11.3405725125,0.0,0.0,bus,PIAN DI MACINA ALLENDE
103,44.46515852,11.278010015,0.0,0.0,bus,CASALECCHIO RONZANI
127,44.41003173,11.347750155,0.0,0.0,bus,BOARIA
126,44.417474045,11.35114555,0.0,0.0,bus,PIANORO N. DEPOSITO GAS
125,44.420591295,11.349091869999999,0.0,0.0,bus,CARTERIA PUCCINI
5,44.448460960000006,11.466950390000001,0.0,0.0,bus,OLMATELLO
104,44.46149889,11.278971485,0.0,0.0,bus,CASALECCHIO C.S. ALLENDE
91,44.49942079,11.19603114,0.0,0.0,bus,PONTE RONCA SCUOLE
102,44.4697119,11.277515390000001,0.0,0.0,bus,CASALECCHIO LIDO
54,44.555708315,11.32022082125,0.0,0.0,bus,TREBBO PRONI
24,44.54632288,11.44362779,0.0,0.0,bus,GRANAROLO MATTEUCCI
29,44.554174360000005,11.43569914,0.0,0.0,bus,VIADAGOLA CENTRO SPORTIVO
1,44.459944195,11.43659609,0.0,0.0,bus,IDICE
30,44.55636187,11.42913765,0.0,0.0,bus,VIADAGOLA CHIESA
31,44.56156765,11.40927558,0.0,0.0,bus,CADRIANO ROMA
32,44.55625474,11.40606273,0.0,0.0,bus,CADRIANO SCUOLE ELEMENTARI
33,44.54961038333334,11.399636030000002,0.0,0.0,bus,CADRIANO GANDOLFI
53,44.548573975,11.31812495,0.0,0.0,bus,CASE OSTI
22,44.55424140555556,11.447507712222222,0.0,0.0,bus,GRANAROLO DE ROSSI
52,44.592800190000006,11.368998595,0.0,0.0,bus,FUNO
51,44.58679353,11.36871628,0.0,0.0,bus,FUNO AGUCCHI
50,44.58067877,11.36602261,0.0,0.0,bus,CASTEL MAGGIORE TRANCHINA
49,44.57699025,11.36519673,0.0,0.0,bus,CASTEL MAGGIORE BONDANELLO
48,44.57408868,11.36310247,0.0,0.0,bus,CASTEL MAGGIORE
47,44.56999571,11.36031238,0.0,0.0,bus,FRABACCIA
46,44.55955147,11.35626506,0.0,0.0,bus,VILLA ZARRI
23,44.54176823,11.44061229,0.0,0.0,bus,GRANAROLO HOTEL KING
21,44.53753819,11.4337605,0.0,0.0,bus,GRANAROLO FOGGIA NUOVA
7,44.441401505,11.48553376,0.0,0.0,bus,OZZANO PIAVE
